"_type","author","keywords","text"
"dict","J.K. Rowling","dumbledore,life,love,snape","“Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears."
"dict","Anonymous","misattributed-mark-twain,truth","“A lie can travel half way around the world while the truth is putting on its shoes.”"
"dict","Mark Twain","death,life","“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”"
"dict","Jane Austen","books,library,reading","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
"dict","J.R.R. Tolkien","adventuring,death,time","“I wish it need not have happened in my time,"" said Frodo."
"dict","William Shakespeare","greatness","“Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.”"
"dict","Dr. Seuss","inspirational","“A person's a person, no matter how small.”"
"dict","Mark Twain","truth","“Never tell the truth to people who are not worthy of it.”"
"dict","C.S. Lewis","christianity,faith,religion,sun","“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”"
"dict","Nicholas Sparks","dear-john,nicholas-sparks","“I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.”"
"dict","Nicolas Chamfort","philosophy","“A day without laughter is a day wasted.”"
"dict","Maya Angelou","1993,advice,complaining,inspirational","“What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”"
"dict","Anonymous","attributed-no-source,misattributed-to-einstein","“Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.”"
"dict","C.S. Lewis","age,fairytales,growing-up","“Some day you will be old enough to start reading fairy tales again.”"
"dict","Cassandra Clare","books","“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”"
"dict","Chuck Palahniuk","happiness,pain,peace,scar,sweetness","“It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”"
"dict","Oscar Wilde","truth","“The truth is rarely pure and never simple.”"
"dict","Harper Lee","better-life-empathy","“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”"
"dict","Markus Herz","books,health,humor,misattributed-mark-twain,misprints","“Be careful about reading health books. Some fine day you'll die of a misprint.”"
"dict","John Green","invincible,teenagers,teens","“When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”"
"dict","Marilyn Monroe","attributed-no-source","“If you're gonna be two-faced at least make one of them pretty.”"
"dict","John Green","augustus-waters,hazel,heartbreak,privilege","“Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.”"
"dict","Kurt Vonnegut","action,attitude,choice,imagination,inspiration,life,pretend","“We are what we pretend to be, so we must be careful about what we pretend to be.”"
"dict","J.K. Rowling","truth","“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”"
"dict","Ralph Waldo Emerson","friends","“It is one of the blessings of old friends that you can afford to be stupid with them.”"
"dict","Terry Johnson","humor,misattributed-to-marilyn-monroe,philosophy","“Have you ever noticed how ‘What the hell’ is always the right decision to make?”"
"dict","Oscar Wilde","books,morality,reading","“The books that the world calls immoral are books that show the world its own shame.”"
"dict","Nicholas Sparks","inspirational,the-notebook","“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”"
"dict","Lewis Carroll","alice,humor,inspirational,philosophy-of-life,psychological,yesterday","“It’s no use going back to yesterday, because I was a different person then.”"
"dict","John Green","","“Thomas Edison's last words were """
"dict","Bob Marley","inspirational,love","“He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”"
"dict","Chuck Palahniuk","life,love","“The one you love and the one who loves you are never, ever the same person.”"
"dict","Aristotle","introspection,self-discovery,wisdom","“Knowing yourself is the beginning of all wisdom.”"
"dict","George R.R. Martin","books,mind","“A mind needs books as a sword needs a whetstone, if it is to keep its edge.”"
"dict","Henri J.M. Nouwen","empathy,friends,friendship,inspirational","“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”"
"dict","Haruki Murakami","memories","“Memories warm you up from the inside. But they also tear you apart.”"
"dict","J.K. Rowling","humor,rebellion,sarcasm","“Do you remember me telling you we are practicing non-verbal spells, Potter?"""
"dict","C.E.M. Joad","creativity,humor,misattributed-to-einstein,paraphrased","“Creativity is knowing how to hide your sources”"
"dict","Helen Keller","friendship","“I would rather walk with a friend in the dark, than alone in the light.”"
"dict","Sarah Dessen","friendship","“Life is an awful, ugly place to not have a best friend.”"
"dict","Mahatma Gandhi","attributed-no-source,conflict,fighting,peace,revenge,trial,violence","“An eye for an eye will only make the whole world blind.”"
"dict","Rita Mae Brown","humor,insanity","“The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”"
